Date,Store Location,Product Category,Customer Type,Customer Age,Gender,Payment Method,Units Sold,Price per Unit (INR),Cost per Unit (INR),Discount (%),City Tier,Discount Amount (INR),Effective Price per Unit (INR),Total Revenue (INR),Total Cost (INR),Gross Profit (INR),Company Name,Market Share (%),Stock Turnover Ratio,Purchase Type,Sales Channel,Break-even Units,Discount Effectiveness (%),Age Group,Revenue Before Discount,Price Range,Discount Range,Month Name,Avg_Diamond_Discount
1/6/2024 00:00:00,Kolkata,Platinum,Returning,63,Male,UPI,15,15000,60000,6,Tier-1,900,14100,211500,900000,-688500,Kalyan Jewellers,0.09480844637,1.67E-05,Impulse,Online,-20,-765,56+,212400,50K+,0-10%,"January,2024",
1/18/2024 12:00:00 AM,Delhi,Platinum,Returning,54,Female,Cash,5,3000,2000,9,Tier-1,270,2730,13650,10000,3650,Tanishq,0.006118842993,0.0005,Impulse,Offline,10,13.51851852,46-55,13920,10K-25K,0-10%,"January,2024",
1/26/2024 12:00:00 AM,Kolkata,Platinum,New,33,Female,UPI,4,50000,2000,1,Tier-1,500,49500,198000,8000,190000,PC Jeweller,0.08875684341,0.0005,Impulse,Online,0.1666666667,380,26-35,198500,50K+,0-10%,"January,2024",
2/2/2024 00:00:00,Delhi,Platinum,Returning,30,Female,Cash,2,3000,60000,12,Tier-1,360,2640,5280,120000,-114720,Malabar Gold & Diamonds,0.002366849158,1.67E-05,Impulse,Offline,-2.105263158,-318.6666667,26-35,5640,5K-10K,10-20%,"February,2024",
2/7/2024 00:00:00,Mumbai,Platinum,Returning,25,Male,Net Banking,7,15000,2000,5,Tier-1,750,14250,99750,14000,85750,PC Jeweller,0.04471462187,0.0005,Impulse,Online,1.076923077,114.3333333,18-25,100500,50K+,0-10%,"February,2024",
2/8/2024 00:00:00,Kolkata,Platinum,New,36,Male,Credit Card,14,3000,40000,5,Tier-1,150,2850,39900,560000,-520100,Malabar Gold & Diamonds,0.01788584875,2.50E-05,Impulse,Online,-15.13513514,-3467.333333,36-45,40050,25K-50K,0-10%,"February,2024",
2/9/2024 00:00:00,Kolkata,Platinum,Returning,50,Other,UPI,1,15000,40000,15,Tier-1,2250,12750,12750,40000,-27250,Malabar Gold & Diamonds,0.005715402795,2.50E-05,Impulse,Online,-1.6,-12.11111111,46-55,15000,10K-25K,10-20%,"February,2024",
2/11/2024 00:00:00,Hyderabad,Platinum,New,63,Female,UPI,16,100000,12000,3,Tier-1,3000,97000,1552000,192000,1360000,PC Jeweller,0.6957102069,8.33E-05,Planned,Online,2.181818182,453.3333333,56+,1555000,50K+,0-10%,"February,2024",
2/16/2024 12:00:00 AM,Hyderabad,Platinum,New,21,Female,UPI,17,15000,2000,7,Tier-1,1050,13950,237150,34000,203150,PC Jeweller,0.106306492,0.0005,Impulse,Online,2.615384615,193.4761905,18-25,238200,50K+,0-10%,"February,2024",
2/18/2024 12:00:00 AM,Kolkata,Platinum,Returning,40,Male,Credit Card,5,100000,40000,4,Tier-1,4000,96000,480000,200000,280000,Senco Gold & Diamonds,0.2151681052,2.50E-05,Planned,Online,3.333333333,70,36-45,484000,50K+,0-10%,"February,2024",
2/20/2024 12:00:00 AM,Delhi,Platinum,Returning,50,Other,Cash,2,100000,12000,11,Tier-1,11000,89000,178000,24000,154000,Senco Gold & Diamonds,0.07979150569,8.33E-05,Planned,Offline,0.2727272727,14,46-55,189000,50K+,10-20%,"February,2024",
2/24/2024 12:00:00 AM,Chennai,Platinum,New,51,Other,Credit Card,8,50000,60000,12,Tier-1,6000,44000,352000,480000,-128000,PC Jeweller,0.1577899438,1.67E-05,Impulse,Online,-48,-21.33333333,46-55,358000,50K+,10-20%,"February,2024",
2/28/2024 12:00:00 AM,Chennai,Platinum,New,58,Male,Net Banking,2,15000,60000,9,Tier-1,1350,13650,27300,120000,-92700,Kalyan Jewellers,0.01223768599,1.67E-05,Impulse,Online,-2.666666667,-68.66666667,56+,28650,25K-50K,0-10%,"February,2024",
3/5/2024 00:00:00,Kolkata,Platinum,New,19,Male,Cash,9,100000,2000,11,Tier-1,11000,89000,801000,18000,783000,Senco Gold & Diamonds,0.3590617756,0.0005,Planned,Offline,0.1836734694,71.18181818,18-25,812000,50K+,10-20%,"March,2024",
3/9/2024 00:00:00,Kolkata,Platinum,New,56,Male,Net Banking,2,100000,12000,2,Tier-1,2000,98000,196000,24000,172000,Senco Gold & Diamonds,0.08786030964,8.33E-05,Planned,Online,0.2727272727,86,56+,198000,50K+,0-10%,"March,2024",
3/10/2024 00:00:00,Mumbai,Platinum,Returning,57,Male,Net Banking,19,75000,80000,18,Tier-1,13500,61500,1168500,1520000,-351500,Malabar Gold & Diamonds,0.5237998562,1.25E-05,Planned,Online,-304,-26.03703704,56+,1182000,50K+,10-20%,"March,2024",
3/24/2024 12:00:00 AM,Mumbai,Platinum,Returning,48,Male,Net Banking,17,75000,40000,7,Tier-1,5250,69750,1185750,680000,505750,Kalyan Jewellers,0.53153246,2.50E-05,Planned,Online,19.42857143,96.33333333,46-55,1191000,50K+,0-10%,"March,2024",
3/26/2024 12:00:00 AM,Mumbai,Platinum,Returning,60,Male,Cash,7,100000,40000,4,Tier-1,4000,96000,672000,280000,392000,Senco Gold & Diamonds,0.3012353473,2.50E-05,Planned,Offline,4.666666667,98,56+,676000,50K+,0-10%,"March,2024",
4/6/2024 00:00:00,Hyderabad,Platinum,New,27,Male,UPI,7,100000,12000,4,Tier-1,4000,96000,672000,84000,588000,Tanishq,0.3012353473,8.33E-05,Planned,Online,0.9545454545,147,26-35,676000,50K+,0-10%,"April,2024",
4/13/2024 12:00:00 AM,Hyderabad,Platinum,New,57,Other,UPI,8,50000,2000,7,Tier-1,3500,46500,372000,16000,356000,Tanishq,0.1667552816,0.0005,Impulse,Online,0.3333333333,101.7142857,56+,375500,50K+,0-10%,"April,2024",
4/18/2024 12:00:00 AM,Delhi,Platinum,Returning,45,Other,UPI,4,15000,40000,14,Tier-1,2100,12900,51600,160000,-108400,Malabar Gold & Diamonds,0.02313057131,2.50E-05,Impulse,Online,-6.4,-51.61904762,36-45,53700,50K+,10-20%,"April,2024",
4/23/2024 12:00:00 AM,Kolkata,Platinum,New,56,Other,Cash,16,75000,40000,13,Tier-1,9750,65250,1044000,640000,404000,PC Jeweller,0.4679906289,2.50E-05,Planned,Offline,18.28571429,41.43589744,56+,1053750,50K+,10-20%,"April,2024",
4/28/2024 12:00:00 AM,Chennai,Platinum,Returning,61,Male,Cash,1,50000,12000,4,Tier-1,2000,48000,48000,12000,36000,Kalyan Jewellers,0.02151681052,8.33E-05,Impulse,Offline,0.3157894737,18,56+,50000,25K-50K,0-10%,"April,2024",
4/30/2024 12:00:00 AM,Delhi,Platinum,New,50,Other,UPI,6,15000,80000,17,Tier-1,2550,12450,74700,480000,-405300,PC Jeweller,0.03348553638,1.25E-05,Impulse,Online,-7.384615385,-158.9411765,46-55,77250,50K+,10-20%,"April,2024",
5/1/2024 00:00:00,Kolkata,Platinum,New,20,Female,UPI,12,50000,2000,13,Tier-1,6500,43500,522000,24000,498000,Kalyan Jewellers,0.2339953144,0.0005,Impulse,Online,0.5,76.61538462,18-25,528500,50K+,10-20%,"May,2024",
5/15/2024 12:00:00 AM,Kolkata,Platinum,New,45,Other,Cash,15,3000,2000,11,Tier-1,330,2670,40050,30000,10050,PC Jeweller,0.01795308878,0.0005,Impulse,Offline,30,30.45454545,36-45,40380,25K-50K,10-20%,"May,2024",
5/18/2024 12:00:00 AM,Bangalore,Platinum,Returning,55,Other,Net Banking,12,100000,60000,7,Tier-1,7000,93000,1116000,720000,396000,PC Jeweller,0.5002658447,1.67E-05,Planned,Online,18,56.57142857,46-55,1123000,50K+,0-10%,"May,2024",
5/20/2024 12:00:00 AM,Bangalore,Platinum,New,62,Male,Cash,16,50000,40000,14,Tier-1,7000,43000,688000,640000,48000,Tanishq,0.3084076175,2.50E-05,Impulse,Offline,64,6.857142857,56+,695000,50K+,10-20%,"May,2024",
5/25/2024 12:00:00 AM,Kolkata,Platinum,Returning,18,Other,UPI,19,3000,12000,4,Tier-1,120,2880,54720,228000,-173280,Kalyan Jewellers,0.024529164,8.33E-05,Impulse,Online,-25.33333333,-1444,18-25,54840,50K+,0-10%,"May,2024",
6/11/2024 00:00:00,Chennai,Platinum,New,26,Other,Cash,14,15000,60000,16,Tier-1,2400,12600,176400,840000,-663600,Kalyan Jewellers,0.07907427867,1.67E-05,Impulse,Offline,-18.66666667,-276.5,26-35,178800,50K+,10-20%,"June,2024",
6/18/2024 12:00:00 AM,Bangalore,Platinum,New,19,Male,UPI,2,100000,80000,6,Tier-1,6000,94000,188000,160000,28000,Senco Gold & Diamonds,0.08427417455,1.25E-05,Planned,Online,8,4.666666667,18-25,194000,50K+,0-10%,"June,2024",
6/20/2024 12:00:00 AM,Kolkata,Platinum,New,48,Male,Net Banking,11,15000,80000,1,Tier-1,150,14850,163350,880000,-716650,Malabar Gold & Diamonds,0.07322439581,1.25E-05,Impulse,Online,-13.53846154,-4777.666667,46-55,163500,50K+,0-10%,"June,2024",
6/25/2024 12:00:00 AM,Chennai,Platinum,Returning,38,Male,Credit Card,7,15000,12000,3,Tier-1,450,14550,101850,84000,17850,Senco Gold & Diamonds,0.04565598233,8.33E-05,Impulse,Online,28,39.66666667,36-45,102300,50K+,0-10%,"June,2024",
6/26/2024 12:00:00 AM,Bangalore,Platinum,Returning,54,Female,Net Banking,14,3000,60000,14,Tier-1,420,2580,36120,840000,-803880,Tanishq,0.01619139992,1.67E-05,Impulse,Online,-14.73684211,-1914,46-55,36540,25K-50K,10-20%,"June,2024",
7/9/2024 00:00:00,Hyderabad,Platinum,New,46,Female,Credit Card,6,100000,12000,7,Tier-1,7000,93000,558000,72000,486000,Kalyan Jewellers,0.2501329223,8.33E-05,Planned,Online,0.8181818182,69.42857143,46-55,565000,50K+,0-10%,"July,2024",
7/17/2024 12:00:00 AM,Mumbai,Platinum,New,39,Male,Net Banking,18,100000,2000,9,Tier-1,9000,91000,1638000,36000,1602000,Senco Gold & Diamonds,0.7342611591,0.0005,Planned,Online,0.3673469388,178,36-45,1647000,50K+,0-10%,"July,2024",
7/20/2024 12:00:00 AM,Mumbai,Platinum,New,22,Male,Net Banking,13,50000,40000,0,Tier-1,0,50000,650000,520000,130000,Malabar Gold & Diamonds,0.2913734758,2.50E-05,Impulse,Online,52,0,18-25,650000,50K+,0-10%,"July,2024",
7/24/2024 12:00:00 AM,Kolkata,Platinum,Returning,41,Other,Credit Card,8,75000,80000,0,Tier-1,0,75000,600000,640000,-40000,Kalyan Jewellers,0.2689601315,1.25E-05,Planned,Online,-128,0,36-45,600000,50K+,0-10%,"July,2024",
8/9/2024 00:00:00,Kolkata,Platinum,New,47,Female,Credit Card,18,15000,12000,5,Tier-1,750,14250,256500,216000,40500,Senco Gold & Diamonds,0.1149804562,8.33E-05,Impulse,Online,72,54,46-55,257250,50K+,0-10%,"August,2024",
8/11/2024 00:00:00,Chennai,Platinum,New,33,Other,Cash,8,15000,60000,6,Tier-1,900,14100,112800,480000,-367200,Kalyan Jewellers,0.05056450473,1.67E-05,Impulse,Offline,-10.66666667,-408,26-35,113700,50K+,0-10%,"August,2024",
8/15/2024 12:00:00 AM,Delhi,Platinum,New,36,Male,Cash,1,3000,80000,5,Tier-1,150,2850,2850,80000,-77150,PC Jeweller,0.001277560625,1.25E-05,Impulse,Offline,-1.038961039,-514.3333333,36-45,3000,0-5K,0-10%,"August,2024",
8/26/2024 12:00:00 AM,Kolkata,Platinum,Returning,31,Other,UPI,5,50000,60000,2,Tier-1,1000,49000,245000,300000,-55000,Senco Gold & Diamonds,0.109825387,1.67E-05,Impulse,Online,-30,-55,26-35,246000,50K+,0-10%,"August,2024",
9/10/2024 00:00:00,Delhi,Platinum,New,52,Female,Net Banking,15,100000,12000,16,Tier-1,16000,84000,1260000,180000,1080000,Malabar Gold & Diamonds,0.5648162762,8.33E-05,Planned,Online,2.045454545,67.5,46-55,1276000,50K+,10-20%,"September,2024",
9/19/2024 12:00:00 AM,Chennai,Platinum,Returning,36,Female,Credit Card,17,50000,12000,0,Tier-1,0,50000,850000,204000,646000,Kalyan Jewellers,0.381026853,8.33E-05,Impulse,Online,5.368421053,0,36-45,850000,50K+,0-10%,"September,2024",
9/21/2024 12:00:00 AM,Mumbai,Platinum,Returning,42,Female,Credit Card,3,75000,80000,3,Tier-1,2250,72750,218250,240000,-21750,Tanishq,0.09783424785,1.25E-05,Planned,Online,-48,-9.666666667,36-45,220500,50K+,0-10%,"September,2024",
9/25/2024 12:00:00 AM,Chennai,Platinum,Returning,53,Other,Credit Card,10,50000,80000,6,Tier-1,3000,47000,470000,800000,-330000,Kalyan Jewellers,0.2106854364,1.25E-05,Impulse,Online,-26.66666667,-110,46-55,473000,50K+,0-10%,"September,2024",
9/27/2024 12:00:00 AM,Bangalore,Platinum,Returning,36,Female,UPI,11,75000,60000,3,Tier-1,2250,72750,800250,660000,140250,Malabar Gold & Diamonds,0.3587255755,1.67E-05,Planned,Online,44,62.33333333,36-45,802500,50K+,0-10%,"September,2024",
10/4/2024 00:00:00,Mumbai,Platinum,New,18,Male,Net Banking,5,75000,80000,7,Tier-1,5250,69750,348750,400000,-51250,Kalyan Jewellers,0.1563330765,1.25E-05,Planned,Online,-80,-9.761904762,18-25,354000,50K+,0-10%,"October,2024",
10/13/2024 12:00:00 AM,Kolkata,Platinum,New,57,Other,Net Banking,12,100000,40000,1,Tier-1,1000,99000,1188000,480000,708000,Kalyan Jewellers,0.5325410605,2.50E-05,Planned,Online,8,708,56+,1189000,50K+,0-10%,"October,2024",
10/15/2024 12:00:00 AM,Bangalore,Platinum,Returning,39,Other,Credit Card,7,15000,60000,7,Tier-1,1050,13950,97650,420000,-322350,Kalyan Jewellers,0.04377326141,1.67E-05,Impulse,Online,-9.333333333,-307,36-45,98700,50K+,0-10%,"October,2024",
10/18/2024 12:00:00 AM,Chennai,Platinum,Returning,29,Female,UPI,6,100000,40000,12,Tier-1,12000,88000,528000,240000,288000,Senco Gold & Diamonds,0.2366849158,2.50E-05,Planned,Online,4,24,26-35,540000,50K+,10-20%,"October,2024",
10/21/2024 12:00:00 AM,Mumbai,Platinum,Returning,44,Other,Cash,16,3000,40000,19,Tier-1,570,2430,38880,640000,-601120,Senco Gold & Diamonds,0.01742861652,2.50E-05,Impulse,Offline,-17.2972973,-1054.596491,36-45,39450,25K-50K,10-20%,"October,2024",
